房源名称,户型,地址,地址,价格,面积,朝向
水岸铭门单身公寓出租600一700每月,1室0厅,水岸铭门,西山大道,600,30,朝东
万达旁，温馨两室，拎包住，房东好说话！,2室2厅,汇悦新天地,斗篷山路100号,1500,80,东南
开发区，城市风景，三室拎包入住！,3室1厅,城市风景,嘉和路2号,1600,110,东南
老山可乐，适合办公，开店用！普罗旺斯，三室，,3室2厅,恒丰普罗旺斯,天乐路,1600,120,东南
大十字！电梯房！大十字，明珠广场，两室简装，底价急租！,2室1厅,明珠广场,剑江中路90号,1200,105,东北
伯爵花园旁天源花园3室2厅1卫 1200元月 精装修,3室2厅,天源花园(都匀),都匀市龙山大道伯爵隔壁,1200,92.5,南北
南洲国际 马鞍山小区B区  三室两厅精装修 没有家具办公,3室2厅,南州国际文华苑,大龙大道8号,1500,120,南北
小十字，电梯单间，新装，好住，地段好，价格低！,1室1厅,华欣大厦,广惠路438号,900,50,东南
沙坝，北出口这边，两室拎包入住，随时看房！,2室1厅,北城财阜,匀杨大道,1200,85,西北
老山可乐，夜市街，电梯三室，拎包入住！,3室1厅,紫竹苑,剑江大道中段,1300,110,东南
兴亚大厦 2室1厅1卫 1200元月 96平 靠路边,2室1厅,兴亚大厦,平桥北路1号,1200,96,朝西
新二中，电梯三室，拎包入住！,2室2厅,金澜湾,甲茶路,1800,90,东南
大西门，三小，电梯温馨两室，出租！,2室1厅,黔中公寓,协府路10号,1500,80,东南
平桥汽车站对面二室一厅一卫62平米拎包入住出租,2室1厅,平惠小区,平桥北路4号,1000,62,南北
南洲国际 三中 马鞍山小区 两室两厅一卫 租价1500,2室2厅,马鞍山小区林馨佳苑,大龙大道,1500,80,朝北
剑江中路102号住宅楼 1800元月 可合租 四室两厅两卫,4室2厅,剑江中路102号住宅楼,剑江中路102号,1800,228,朝南
学校附近 可开美容院 公司 培训班等 繁华地段 性价比高,5室2厅,兴荣大厦,新华路26号,2800,177,朝东
平桥商品房 2室1厅1卫 800元月 62平 长租可优惠,2室1厅,平桥商品房,平桥南路,800,62,朝南
小十字，女人街，电梯两房，拎包入住！,2室2厅,筑匀大厦,广惠路407号,1400,102,东南
水岸铭门旁边，河西安置房，三室拎包入住！,3室2厅,水岸铭门,西山大道,1600,110,东西
新上！平桥三室电梯，拎包入住,3室2厅,水榭花都,环东北路74号,1100,137,西南
沸城国际   二室一厅新房精装修家具家电齐全拎包入住,2室2厅,榕锐沸城国际,环东北路104号,1600,90,南北
伯爵花园小区   两室两厅精装修家具家电齐全拎包入住,2室2厅,伯爵花园,斗蓬山路12号,1700,90,朝南
大西门中医院附近步梯五楼三室拎包入住！房间宽敞干净！,3室2厅,兴亚培育小区,培育巷2号,1400,138,朝东
时代广场 2室2厅1卫 1500元月 电梯房 87平,2室2厅,时代广场,花园路,1500,87,南北
老火车站 尚城幸福里 两室一厅一卫 新精装修 拎包入住,2室2厅,尚城幸福里,云鹤路,1800,85,南北
城市风景 三室两厅两卫 入住打扫 带空调家具家电齐全拎包入住,3室2厅,城市风景,嘉和路2号,1700,140,朝北
现代城！百闻不如一见！125平方米户型方正献给懂得享受的你,3室2厅,现代城,民族路37号,2200,125,南北
老山可乐旁，三室一厅拎包入住,3室1厅,恒丰普罗旺斯,天乐路,1300,96,朝北
南洲国际 马鞍山小区三室两厅精装房 环境优雅户型通透,3室2厅,马鞍山小区林馨佳苑,大龙大道,1300,114,南北
大十字五月花步梯7楼 近大小十字 中医院 州医院,3室1厅,都匀供电局小区,剑江中路112号,1000,110,朝南
老火车站，尚城幸福里，2室1厅，精装修，家电家具齐全,2室1厅,尚城幸福里,云鹤路,1600,80.2,南北
都匀二小旁 步梯六楼精装 家具家电齐全 市中心位置好,2室1厅,观天下,迎宾路,1000,74,朝南
碧桂园滨江壹号三室两厅 可短租 家具家电齐全 拎包入住,3室2厅,碧桂园滨江一号,西山大道,1400,120,朝南
汇悦新天地 带空调 阳台家具家电齐全 拎包入住 包物业费,2室1厅,汇悦新天地,斗篷山路100号,2000,80,朝北
老火车站 幸福里 精装 两室 1800一个月 随时看房,2室1厅,尚城幸福里,云鹤路,1800,60,南北
平桥转盘（同济医院后面）2楼，两室一厅（拎包入住），,2室1厅,平桥商品房,平桥南路,1000,70,南北
开发区（老山可乐华润小区）三室一厅，精装，家电家具齐全,3室2厅,龙彩花园,兰香巷,1200,120.3,南北
尚城幸福里 精装两房出租  1600月   寻长期租户！,2室2厅,尚城壹品,剑江中路,1600,80,南北
人民广场对面步梯三楼三室两厅一卫 近小十字州医院,3室2厅,温馨花园,剑江大道南段,1300,140,西南
庆云宫 4房出租 租金800元一月,4室2厅,庆云宫电厂小区,庆云宫,800,120,南北
宵夜摊 旁紫竹苑  精装修三房 租1600月！,3室2厅,紫竹苑,剑江大道中段,1600,110,南北
城市风景三室两厅一厨两卫 无家具 低价出租,3室2厅,城市风景,嘉和路2号,1100,120,朝南
出租建贸大厦电梯精装修，家具家电齐全，拎包入住,2室2厅,建贸大厦,平桥北路,1200,100,南北
六小旁边 邮电小区 两室简装 700 实物拍摄 地段好,2室1厅,邮电宿舍,云宫路,700,65,朝南
银河之都三室两厅两卫出租1600,3室2厅,银河之都,民族路36号,1600,132,南北
马鞍山，青云湖旁，三室，可办公,3室2厅,马鞍山小区林馨佳苑,大龙大道,1300,125,东南
伯爵花园小两房出租，交通方便！,2室1厅,伯爵花园,斗蓬山路12号,1200,67.1,朝南
水岸铭门 单间带独立卫生间 600到700每月！,1室0厅,水岸铭门,西山大道,600,30,南北
马鞍山小区，A区精装大两房，家具家电齐全，可拎包入住！,2室2厅,马鞍山小区林馨佳苑,大龙大道,1800,97,东南
开发区伯爵花园(免中介费)酒店式公寓住房出租,1室0厅,伯爵花园,斗蓬山路12号,750,22,南北
文峰家园好房出租正规三室步梯三楼1200一个月,3室2厅,文峰家园,剑江中路36号,1200,105,南北
出租水锦花城三室两厅精装修邻包入住,3室2厅,水锦花城,环城西路36号,1200,100,南北
小围寨菜市场后面城南新家园温馨两室拎包入住！生活方便！,2室1厅,城南新家园,独山路,1000,88,朝东
位于开发区紫竹苑 三室两厅一卫 拎包入住 周边齐全,3室2厅,紫竹苑,剑江大道中段,1600,110,南北
位于老火车站文峰家园步梯房 拎包入住 交通便利,3室1厅,文峰家园,剑江中路36号,1200,105,西南
大十字斜桥 国鼎家电楼上协和星苑三室一厅精装房 环抱式大阳台,3室1厅,协和星苑,剑江中路118号,2000,142,南北
租三小大门旁丽景公寓2室1厅,2室1厅,黔中公寓,协府路10号,900,70,西北
老山可乐民主苑，三室两厅两卫拎包入住,3室2厅,恒丰普罗旺斯,天乐路,1300,130,东南
南州国际文华苑三室两厅两卫出租,3室2厅,南州国际文华苑,大龙大道8号,2300,108,南北
金麒麟 二期 三室二厅 新装修 空房 适合居家及办公,3室2厅,金麒麟,工人路38号,1800,116,东南
剑江中路102号住宅楼 3室1厅1卫 1000元月,3室1厅,剑江中路102号住宅楼,剑江中路102号,1000,120,南北
好房新上 城市风景 简简单单大4室 适合做员工宿舍或办公,3室2厅,城市风景,嘉和路2号,1300,120,朝南
好房新上 剑江半岛 精装修 大3室 生活很方便,3室2厅,剑江半岛,杜鹃湖路,2000,120,朝南
（房主直租）永辉超市旁十字路口公寓,1室0厅,红旗新村,斗篷山路12号,650,15,朝东
黔中公寓 两室一厅一卫出租 拎包入住 有钥匙,2室1厅,黔中公寓,协府路10号,1300,65,南北
三小半坡 三小后门 单身公寓 精装修 家具家电齐全 拎包入住,1室1厅,御庭苑,剑江中路98号,900,41,东北
州医院旁步梯四楼三室拎包入住！市中心生活方便！交通便利！,3室2厅,中大逸峰,文峰路1号,1300,116,朝西
州医院后门 电梯房 剑峰小区 3室2厅2卫 1500元月,3室2厅,剑峰小区,环东中路256号,1500,137,南北
租 州医院后门  电梯房 精装修3室 1800一个月,3室2厅,东坡经典时代,民族路,1800,129,东南
大十字 中寰广场后面 步梯6楼 3室 交通生活方便,3室1厅,中寰广场,剑江大道中段,1000,100,朝南
3室2厅 家电齐全！精装修出租！广惠国际,3室2厅,广惠国际,平桥南路26号,2100,111,南北
东来尚城 2室1厅1卫 800元月 南北通透 80平,2室1厅,东来尚城,东来路,800,80,东南
大西门33栋 3室2厅1卫 800元月 南北通透 90平,3室2厅,大西门33栋,胜利路2号,800,90,朝西
（房主直租）万达广场附近公寓,1室0厅,锦江豪苑,斗篷山路179号,850,25,朝东
碧云苑 3室2厅2卫 1500元月 南北通透 1500平,3室2厅,碧云苑,平桥北路2号,1500,1500,朝北
急租3小旁边两室两厅,2室2厅,黔中公寓,协府路10号,1300,75,南北
伯爵花园 单身公寓小区绿化好周边配套设施齐全,1室1厅,伯爵花园,斗蓬山路12号,1300,45,南北
天源万达广场单身公寓 带卫生间可做饭 交通方便,5室1厅,天源万达时代,斗篷山路,900,15,南北
大十字  一年起租 1500元月 精装修 河景房,1室1厅,临江大厦,河滨路,1500,60,朝西
伯爵花园 单身公寓出租 领包入住 1300,1室1厅,伯爵花园,斗蓬山路12号,1300,38,朝东
新装修急出租！二室一厅一卫 可随时看房,2室1厅,文峰商贸城,剑江中路196号,1000,46,东南
城区腾龙溪苑三房中等装修出租,3室2厅,腾龙溪苑,环城西路47号,2000,121,南北
电信大楼 沁园村 装修得可以 电烤炉都有干干净净的,3室2厅,沁园村小区,剑江大道中段,1800,110,朝南
万达广场天源2013单身公寓出租,1室0厅,天源2013,斗篷山路227号,1100,45,朝南
临江雅苑 3室2厅2卫 1500元月 125平 电梯房,3室2厅,临江雅苑,平桥北路1号,1500,125,南北
（房主直租）州医院旁公寓出租,1室0厅,中大逸峰,文峰路1号,650,15,朝东
（房主直租）西苑旁江城大厦公寓出租,1室0厅,江城,河滨路36号,700,25,朝东
州医院旁(免中介费)中大逸锋单身公寓住房出租,1室0厅,中大逸峰,文峰路1号,650,20,南北
伯爵三室两厅两卫出租  拎包入住  河景房 超大阳台有钥匙,3室2厅,伯爵花园,斗蓬山路12号,1880,135,南北
开发区转盘 消防队后面 步梯房2楼 3室1厅 交通方便,3室1厅,都匀供电局小区,剑江中路112号,1200,93,南北
173路水厂 公交大厦 毛坯三房两厅 七小旁边很方便 路段好,3室2厅,公交馨苑,凤凰路,800,127,南北
（主人直租）大西门江城公寓,1室0厅,江城,河滨路36号,550,10,朝东
水岸铭门酒店式公寓出租，600至700每月，居住环境好,1室0厅,水岸铭门,西山大道,600,20,南北
出租 大十字 电梯房 河景房 精装修1500一年起,1室1厅,临江大厦,河滨路,1500,60,西南
（房主直租）女人街旁公寓出租,1室0厅,银河之都,民族路36号,650,15,朝东
（房主直租）师院附近公寓出租,1室0厅,锦江豪苑,斗篷山路179号,650,15,朝东
民族师苑旁精装修单配带独立卫生间只要900  单人必备,1室1厅,水岸绿洲,斗篷山路189号,900,30,东南
剑峰小区旁 2室1厅1卫 700元月 55平 南北通透,2室1厅,剑峰小区,环东中路256号,700,55,东南
河景房 3室2厅 平桥 京都广场出租,3室2厅,京都广场,平桥北路,1200,110,南北
河边华馨湾2期 精装修拎包入住,3室2厅,华馨湾,伯爵美食街,1700,120,朝东
平桥附近173温泉新城三房精装修,3室2厅,温泉新城,剑江北路,1800,110,朝东
平桥怡盛园小区两室拎包入住！,2室2厅,怡盛园小区,剑江北路16号,1000,90,朝西
万达附近御府湾一室一厅拎包入住！距离万达近！生活便利！,1室1厅,御府湾,绿茵湖大道,1100,50,朝东
沙坝北出口北城财阜一室一厅拎包入住！交通便利！生活方便！,1室1厅,北城财阜,匀杨大道,1200,50,朝东
老火车站旁，单身公寓，拎包入住,1室1厅,临江大厦,河滨路,1200,45,朝北
位于育英巷菜场，四楼，三室一厅,3室1厅,观天下,迎宾路,1500,80,南北
伯爵花园 1室1厅1卫 1100元月 44平 精装修,1室1厅,伯爵花园,斗蓬山路12号,1100,43,朝南
中医院附近西苑伊甸园三室拎包入住！出租！干净漂亮！,3室2厅,西苑伊甸园,西苑广场旁,1400,126,朝南
彩虹桥旁交警支队宿舍步梯四楼三室拎包入住！好停车！,3室1厅,左岸阳光,环城西路,1200,110,朝南
万达对面银湖星城四室拎包入住办公居住均可！,4室2厅,银湖星城,毛尖大道中段,1800,138,朝南
汽车站，水厂，精装三室两厅两卫，拎包入住,3室2厅,鸿安家园,环东北路108号,1800,127,西南
新上找办公室老板们看过来！居住也可！生活便利！,3室2厅,筑匀大厦,广惠路407号,1300,110,朝南
水岸铭门单身公寓出租1500元月长租可谈,1室1厅,水岸铭门,西山大道,1500,41,朝西
黔中公寓  首付出租  精装房三室  直接拎包入住  采光好,3室2厅,黔中公寓,协府路10号,1800,100,南北
云鼎居小区 三室两厅两卫 二楼 清爽,3室2厅,平桥商品房,平桥南路,1200,120,朝东
万达附近龙山豪景三室精装拎包入住！有钥匙随时看房！,3室2厅,龙山豪景,斗篷山路96号,1700,120,朝南
彩虹桥阳光酒店后面宿舍步梯四楼拎包入住！出门就是公交站！,3室1厅,锦隆园,飞燕路20号,800,90,朝南
开发区城市风景三室拎包入住！房屋干净整洁户型好用！,3室2厅,城市风景,嘉和路2号,1800,120,朝西
沙坝北出口北城财埠三室拎包入住！户型好用出租！,3室2厅,北城财阜,匀杨大道,1600,130,朝东
大十字临江大厦单身公寓拎包入住！独门独户！河景房！,1室1厅,临江大厦,河滨路,1200,45,朝西
碧桂园凤凰城四室两厅拎包入住！门口停车免费！,4室2厅,碧桂园凤凰城(都匀),绿茵湖大道,1400,148,朝北
开发区伯爵花园单身公寓出租，可拎包入住,1室1厅,伯爵花园,斗蓬山路12号,1600,45,南北
大十字金海岸带空调3室2厅拎包入住！,3室2厅,金海岸大厦,剑江中路67号,1800,150,东南
平桥 (沸城100) 3室1厅1卫 家电家具 齐全,3室1厅,利恒名苑(沸城100),剑江北路70号,1600,100,南北
环西路上碧桂园滨江一号四室拎包入住！家具家电齐全！拎包入住！,4室2厅,碧桂园滨江一号,西山大道,2000,116,朝南
大西门三小旁两室步梯六楼拎包入住！距离菜场近生活方便！,2室1厅,惠丽佳园,胜利路81号,800,86,朝西
匀东鸿申翡翠城三室拎包入住！小区环境好！,3室2厅,鸿申翡翠城,德远路,1600,113,朝西
东方机床厂宿舍两室一厅一卫出租,2室1厅,东来尚城,东来路,700,70,南北
伯爵花园单身公寓出租1000,1室1厅,伯爵花园,斗蓬山路12号,1000,45,南北
平桥附近  广惠国际   房间干净整洁 拎包入住 岀行方便,2室2厅,广惠国际,平桥南路26号,1300,96,南北
马鞍山靠近三中三室拎包入住！距离菜场近交通便利！,3室2厅,马鞍山小区林馨佳苑,大龙大道,1500,98,朝西
黔中公寓 三室两厅出租 家具齐全 拎包入住！,3室2厅,黔中公寓,协府路10号,1900,100,南北
花园式小区城市风景精装三室拎包入住！小区环境好清净！,3室2厅,城市风景,嘉和路2号,1600,116,朝西
大十字物资大厦两室拎包入住！市中心交通便利！生活方便！,2室1厅,物资大厦,剑江北路38,1300,82,朝东
大西门惠丽佳园步梯三楼三室拎包入住！装修漂亮客厅带空调！,3室2厅,惠丽佳园,胜利路81号,1600,116,朝西
新上！沙坝行政中心汽车商贸城三室精装拎包入住！交通便利！,3室2厅,黔南汽车商贸城,斗篷山路269号,1500,130,朝南
马鞍山靠近青云湖三室适合办公！交通便利！停车费每月50元,3室2厅,马鞍山小区林馨佳苑,大龙大道,1300,126,朝西
西山安置房，出租三室两厅一卫，办公商住两用,3室2厅,西山新苑,民族路1号,1200,120,东南
大十字一室一厅公寓出租，交通便利环境好,1室1厅,临江大厦,河滨路,1000,35,朝东
万达附近汇悦新天地两室拎包入住！楼下就是公交站台！交通便利！,2室1厅,汇悦新天地,斗篷山路100号,1600,86,朝西
开发区消防附近大三室拎包入住！房间宽大舒服停车方便！,3室2厅,锦隆园,飞燕路20号,1000,120,朝东
大西门中医院后面电信巷三室拎包入住！步梯三楼！市中心上班近,3室2厅,电信小区,河滨路,1200,110,朝南
东山隧道旁东山学苑两室拎包入住！房屋干净整洁.交通便利！,2室2厅,东山学苑,广惠路66号,1300,88,朝西
长虹桥长江花园三室两厅一卫出租,3室2厅,长江花园,剑江大道中段,800,97,南北
万代广场旁 汇悦新天地 精装两房，家具全带户型好采带无人扫地,2室2厅,汇悦新天地,斗篷山路100号,1600,85,西南
彩虹桥，长江花园旁，三室一厅一卫，家电家具齐全,3室1厅,长江花园,剑江大道中段,1000,105.6,南北
马鞍山小区三室拎包入住！装修漂亮干净！出租！停车费50元,3室2厅,马鞍山小区林馨佳苑,大龙大道,1800,126,朝南
州医院后门文化小区两室拎包入住！距离医院菜场商场都近,2室1厅,文化小区,振华路,1300,90,朝东
万达对面七星安置小区三室两厅简单装修适合做员工宿舍！,3室2厅,银湖星城,毛尖大道中段,1200,104,朝东
育英巷后面步梯二楼三室拎包入住！楼下就是菜场！生活方便！,3室1厅,观天下,迎宾路,1000,90,朝北
新上，找办公室老板看过来,3室1厅,物资大厦,剑江北路38,1200,100,东南
花园小区单身公寓家电家具齐全拎包入住,1室1厅,伯爵花园,斗蓬山路12号,1300,40,南北
河滨小区 精装修新家电 三室两厅两卫 1200元,3室2厅,食汇街河滨小区,食汇街30号,1000,85,朝东
剑江半岛 3室2厅2卫 2200元月 南北通透 电梯房,3室2厅,剑江半岛,杜鹃湖路,2200,110,东北
南洲国际 马鞍山小区A8栋 三中学校旁边  四室两厅适合办公,3室2厅,南州国际文华苑,大龙大道8号,1700,110,朝南
173新天地   三室两厅 精装修  家具家电齐全 拎包入住,3室2厅,173新天地,210国道,1600,120,朝南
实验三小附近 剑江半岛 3室2厅2卫 2200元月,3室2厅,剑江半岛,杜鹃湖路,2200,110,南北
东山学苑电梯2室，采光好，租金低出租，错过拍大腿,2室1厅,东山学苑,广惠路66号,1000,91,南北
师院电信大楼 附近  三室一厅精装修家具家电齐全拎包入住,3室1厅,天源大厦,斗篷山路,1500,110,南北
云宫花城   三室两厅精装修  家具家电齐全拎包入住,3室2厅,云宫花城,云宫路,1300,110,南北
老山可乐  菜市场2楼  两室一厅家具家电齐全拎包入住,2室1厅,紫竹苑,剑江大道中段,900,70,朝南
西苑 彩虹桥头  步梯5楼 双空调三室精装 拎包入住,3室2厅,食汇街河滨小区,食汇街30号,1000,84,南北
伯爵花园精装修  单身公寓出租  空调家具家电齐全拎包入住,1室1厅,伯爵花园,斗蓬山路12号,1500,45,朝南
鸿安家园精装修，实拍照片，干净清爽，寻找高质量顾客，爱卫生！,3室2厅,鸿安家园,环东北路108号,1800,128,朝南
南洲国际马鞍山小区A区  两室两厅精装修家具家电齐全拎包入住,2室1厅,马鞍山小区林馨佳苑,大龙大道,1400,90,朝南
碧桂园滨江一号   三室两厅精装修  基本家具办公居家都可以,4室2厅,碧桂园滨江一号,西山大道,1800,126,朝南
西山大桥旁二室二厅拎包入住,2室2厅,西山新苑,民族路1号,1600,90,朝西
万达广场后面帝景豪园精装修未住过 办公商位两用价格还便宜,3室2厅,帝景豪园,贵和路2号,1800,162,南北
开发区彩虹桥大转盘旁东升公寓精装修中楼层3房2厅一卫拎包入住,3室2厅,东升公寓住宅楼,斗篷山路,1000,113,南北
伯爵旁边沁园村一室一厅一卫出租,1室1厅,沁园村小区,剑江大道中段,1500,53,朝南
银湖新城   四室两厅165平米中等装修有部分家具电器,4室2厅,银湖星城,毛尖大道中段,1800,165,朝南
南洲国际 马鞍山小区 两室两厅 精致装修家具家电齐全,2室2厅,南州国际文华苑,大龙大道8号,1600,90,南北
中医院对面三小旁  黔中公寓  三室两厅新房精装修家电齐全,3室2厅,黔中公寓,协府路10号,1900,106,南北
碧桂园滨江一号   四室两厅精装修  家具家电齐全拎包入住,4室2厅,碧桂园滨江一号,西山大道,1800,130,朝南
老山可乐夜市街全欣大厦 3室2厅2卫 1600元月 精装修,3室2厅,全欣大厦,天乐路10号,1600,107,西南
黔中公寓三房两厅一卫精装修好房出租,3室2厅,黔中公寓,协府路10号,1800,103,朝南
枣园小区 5室2厅2卫 2000元月 南北通透 电梯房,5室2厅,枣园小区,斗篷山路76号,2000,199,南北
伯爵花园附近   供电局对面 电梯房三室两厅精装修拎包入住,3室2厅,伯爵花园,斗蓬山路12号,1500,130,南北
开发区(免中介费)伯爵花园单身公寓住房出租,1室1厅,伯爵花园,斗蓬山路12号,1100,28,南北
南洲国际 马鞍山小区四居室  新装修没有家具适合办公,4室2厅,马鞍山小区林馨佳苑,大龙大道,2100,140,朝南
马鞍山小区  二室一厅，拎包入住，,2室1厅,马鞍山小区林馨佳苑,大龙大道,1200,90,东南
庆云宫 3室2厅1卫简装 租金800,3室2厅,庆云宫电厂小区,庆云宫,800,90,朝南
小十字 鹏达大厦 单间出租 月租500,4室2厅,鹏达大厦,民族路,500,116,南北
南洲国际  马鞍山小区两室两厅精装修家具家电齐全拎包入住,3室2厅,南州国际文华苑,大龙大道8号,1800,120,南北
伯爵金色城邦  一室一厅一卫 精装修拎包入住,1室1厅,黎筑金色城邦,龙山大道44号,1400,50,南北
伯爵金色城邦  单身公寓出租 精致装修 家具家电齐全拎包入住,1室1厅,黎筑金色城邦,龙山大道44号,1300,45,南北
金海岸大厦 3室2厅2卫 2500元月 电梯房 158平,3室2厅,金海岸大厦,剑江中路67号,2500,158,西南
华欣大厦  三室两厅两卫 可用于美容  办公 多用,3室2厅,华欣大厦,广惠路438号,2000,148,南北
平桥广惠国际大厦   两室一厅中等装修家具家电齐全拎包入住,2室1厅,广惠国际,平桥南路26号,1500,87,朝南
紫竹苑小区  三室两厅新房  精装修家具家电齐全拎包入住,3室2厅,紫竹苑,剑江大道中段,1600,120,南北
马鞍山二室一厅一卫，拎包入住停车费50一月,2室1厅,马鞍山小区林馨佳苑,大龙大道,1600,90,东南
剑江半岛 新房第一次出租 全新家具家电 随时看房,3室2厅,剑江半岛,杜鹃湖路,2200,110,朝北
利恒名苑(沸城100) 3室2厅2卫 2000元月,3室2厅,利恒名苑(沸城100),剑江北路70号,2000,127,朝东
急租大十字三室两厅一卫,3室1厅,中寰广场,剑江大道中段,800,100,南北
出租水岸铭门 单身公寓 拎包入住 900每月！,1室0厅,水岸铭门,西山大道,900,30,南北
久达新村 消防大队 彩虹桥 3室1厅1卫 900元月 80平,3室1厅,久达新村,飞燕路14号,800,80,南北
华欣大厦 3室2厅2卫 2000元月 精装修 电梯房,3室2厅,华欣大厦,广惠路438号,2000,150,朝北
出租水岸铭门 单身公寓 拎包入住 1000每月！,1室0厅,水岸铭门,西山大道,1000,30,南北
水岸铭门  对面安置房  精装修  拎包入住,3室2厅,水岸铭门,西山大道,1500,100,南北
育英巷楼上 3室1厅1卫 1000元月 78平 南北通透,3室1厅,观天下,迎宾路,1000,78,朝南
900元一月 一年起平惠市场旁  步梯4楼 3室2厅1卫,3室2厅,平惠小区,平桥北路4号,1000,110,东西
173匀山越 全新装修好 家具全新 只等你拎包入住,2室1厅,匀山樾,剑江北路120号,1500,70,朝西
州医院旁边，州公安宿舍,3室1厅,二小宿舍,迎宾路21号,1200,86,朝南
彩虹桥附近锦隆苑小区步梯三楼拎包入住,2室2厅,锦隆园,飞燕路20号,800,88,朝南
金麒麟附近 2室1厅1卫 1000元月 南北通透 67平,2室1厅,金麒麟,工人路38号,1000,67,朝北
烽景苑 2室1厅1卫 1000元月 89平 南北通透,2室1厅,烽景苑,环东巷10号,1000,89.5,南北
北城财阜 1室1厅1卫 1200元月 南北通透 精装修,1室1厅,北城财阜,匀杨大道,1200,55,南北
大十字物资大厦电梯两房出租 楼下就是五月花酒店，住房干净整洁,2室2厅,物资大厦,剑江北路38,1300,82,朝东
急租 剑锋小区电梯 精装3室2厅2卫 1500月 拎包入住,3室2厅,剑锋小区瑞林苑,振华路,1500,137,西南
大十字，锦绣大厦，三室一厅两卫，家电家具齐全,3室1厅,锦绣大厦,协府路15号,1300,130.5,南北
开发区伯爵花园单身公寓住房出租,1室0厅,伯爵花园,斗蓬山路12号,850,28,南北
大十字 小十字白子桥 国鼎家电楼上 办公三房出租,3室2厅,协和星苑,剑江中路118号,1800,120,朝南
出租 全欣大厦 电梯3室2厅2卫 108平 1700月,3室2厅,全欣大厦,天乐路10号,1500,108,东南
鸿安家园三室两厅两卫精装修出租,3室2厅,鸿安家园,环东北路108号,1800,143,朝南
伯爵对面 旺福大厦 复式楼 5楼 2200月 精装修,4室2厅,伯爵花园,斗蓬山路12号,2200,192,南北
文化小区 4室2厅2卫 2000元月1 电梯房 南北通透,4室2厅,文化小区,振华路,2000,153,西南
文峰家园 2室1厅1卫 800元月 76平 南北通透,2室1厅,文峰家园,剑江中路36号,800,76,南北
龙山豪景 3室2厅1卫 1800元月 电梯房 精装修,3室2厅,龙山豪景,斗篷山路96号,1800,90,南北
老山可乐路口房屋出租。长租价格可议,2室2厅,三和大厦,斗篷山路83号,700,78,西北
尚城壹品新装修2房，知名头等舱沙发花园小区，停车方便，,2室2厅,尚城壹品,剑江中路,1600,78,朝南
碧桂园滨江一号 五室两厅 月租2000,5室2厅,碧桂园滨江一号,西山大道,2000,136,南北
帝景豪园 3室2厅2卫 2000元月 南北通透 电梯房,3室2厅,帝景豪园,贵和路2号,2000,130,南北
急租 波斯湾旁  简装3室1厅1卫 1300月 拎包入住,3室1厅,建业大厦,滨路56号,1300,90,朝南
黔中公寓，二室一厅，停车方便,2室1厅,黔中公寓,协府路10号,1200,80,朝南
银湖新城对面七星城两室一厅一卫出租,2室1厅,银湖新城,毛尖大道中段,1300,80,朝南
读三中，南州国际文华苑，精装三房，领包入住，,3室2厅,南州国际文华苑,大龙大道8号,2000,118,南北
银河之都三室两厅两卫适合办公培训,3室2厅,银河之都,民族路36号,1400,170,朝北
三小教育局旁步梯房 3室2厅2卫 简单装修附近就是三小中医院,3室2厅,御庭苑,剑江中路98号,1500,130,朝南
庆云宫，蒙家桥 ，两居室，精装即可拎包入住。,2室1厅,东江小区,剑江南路2号,600,60,东南
御府湾一室 两室房屋出租 家电家具齐全拎包入住,2室1厅,御府湾,绿茵湖大道,1400,50,朝北
碧桂园滨江一号三室两厅一卫出租,4室2厅,碧桂园滨江一号,西山大道,1500,116,朝南
文峰家园门口 步梯5楼  3室2厅  拎包入住,3室2厅,文峰家园,剑江中路36号,1200,88,东南
州医院后门  拎包入住  三室两厅  东坡,3室2厅,剑峰小区,环东中路256号,1600,137,南北
金鹏花园 3室2厅2卫 1500元月 电梯房 121平,3室2厅,金鹏花园,广惠路270号,1500,121,南北
平惠小区 2室2厅1卫 1000元月 南北通透 100平,2室2厅,平惠小区,平桥北路4号,1000,100,西北
173温泉新城，三室两厅两卫，拎包入住！,3室2厅,温泉新城,剑江北路,1300,130,东南
水岸绿洲 公寓式 单间带一卫 一年起租,1室0厅,水岸绿洲,斗篷山路189号,900,30,朝南
蒙家桥中国银行旁边复式楼出租,5室2厅,三亚湾大厦,剑江中路27号,1800,160,朝南
小围寨虹光小区三房两厅,3室2厅,虹光小区,南苑路,850,100,南北
沙坝民中四一四旁镜湖花园三室拎包入住！,3室2厅,镜湖花园,七星路24号,1200,98,朝西
大十字金海岸宽敞三室拎包入住！客厅厨房宽敞户型好住宿好办公,3室2厅,金海岸大厦,剑江中路67号,1800,126,朝西
伯爵花园 1室1厅1卫 1500元月 精装修 40平,1室1厅,伯爵花园,斗蓬山路12号,1500,40,朝南
城市风景三室两厅出租,3室2厅,嘉和城市风景,嘉和路2号,1000,118.3,朝北
金源大厦临街，办公居住均可。,3室2厅,金源大厦,剑江中路45号,2300,135,朝东
三和花园 3室2厅1卫 1300元月 90平 南北通透,3室2厅,三和花园,斗篷山路,1300,90,南北
新都汇 水锦花城 3室1厅1卫 家电家具齐全,3室1厅,水锦花城,环城西路36号,1500,130.5,南北
伯爵花园 二室一厅 1500月,2室1厅,伯爵花园,斗蓬山路12号,1500,67,朝南
